category,upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
skin,8809710460157,HUMAN OTC DRUG,AROCELL PURE CLEANSING PADS,GLYCERIN,"FICC Co., Ltd.",f90e6f6f-cea9-47d6-becf-6a7b22686976,1,2021-03-25,PURPOSE Skin protectant,uses ■ helps protect your skin.,ACTIVE INGREDIENTS Glycerin 8.0%,"INACTIVE INGREDIENTS Water, Polyglyceryl-6 Caprylate, Polyglyceryl-10 Laurate, Cymbopogon Schoenanthus Extract, Chamomilla Recutita (Matricaria) Flower Extract, Centella Asiatica Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Houttuynia Cordata Extract, Camellia Sinensis Leaf Extract, Dipropylene Glycol, Caprylyl Glycol,Butylene Glycol, 1,2-Hexanediol, Sodium Citrate, Dipotassium Glycyrrhizate, Citric Acid, Disodium EDTA, Hydroxyacetophenone",Directions ■ Wipe gently with an embossing side to remove makeup and dirt. Turn the pad over to the soft side and wipe again to finish.,"WARNINGS For external use only Consult a specialist if there are abnormal symptoms or side effects such as redness, swelling or itchiness due to direct sunlight during or after use. Avoid using on wounded areas. Keep out of reach of children"
cough,311917177991,HUMAN OTC DRUG,Severe Congestion and Cough,"DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",Walgreen Company,31373750-1e34-4c98-8357-5f97b9f57816,5,2021-03-25,Purpose Cough suppressant Expectorant Nasal decongestant,uses temporarily relieves: cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants the intensity of coughing the impulse to cough to help you get to sleep nasal congestion due to a cold helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive,Active ingredients (in each caplet) Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg,"Inactive ingredients corn starch, FD&C blue #2 aluminum lake, FD&C red #40 aluminum lake, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, polysorbate 80, polyvinyl alcohol, povidone, silicon dioxide, sodium starch glycolate, stearic acid, talc, titanium dioxide",Directions do not take more than 12 caplets in any 24-hour period adults and children 12 years and over: take 2 caplets every 4 hours children under 12 years: do not use,"Warnings Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have high blood pressure heart disease difficulty in urination due to enlargement of the prostate gland diabetes thyroid disease persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema cough that occurs with too much phlegm (mucus) When using this product do not exceed recommended dosage. Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur symptoms do not get better within 7 days or occur with fever persistent cough lasts for more than one week, tends to recur, or is accompanied by fever, rash, or persistent headache These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
acne,8809710460041,HUMAN OTC DRUG,AROCELL MOGONG CLEAR PADS,SALICYLIC ACID,"FICC Co., Ltd.",9c5ae456-b77c-4c8d-9d52-cbbbc5678166,1,2021-03-25,PURPOSE Acne Treatment,uses ■ for the treatment of acne.,ACTIVE INGREDIENTS Salicylic Acid 0.46%,"INACTIVE INGREDIENTS Water, Methylpropanediol, Tromethamine, Lactic Acid, Alcohol, 1,2-Hexanediol, Polyglyceryl-10 Laurate , Glycerin, Glycereth-26, Ethylhexylglycerin, Polyglyceryl-10 Myristate, Allantoin, Betaine, Trehalose, Betaine Salicylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Limon (Lemon) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Butylene Glycol, Sodium Hyaluronate, Eucalyptus Globulus Leaf Oil, Capryloyl Salicylic Acid, Lavandula Angustifolia (Lavender) Oil, Gluconolactone, Carica Papaya (Papaya) Fruit Extract, Mentha Arvensis Extract, Mentha Piperita (Peppermint) Leaf Extract, Mentha Rotundifolia Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Anthemis Nobilis Flower Water, Glycyrrhiza Glabra (Licorice) Root Extract, Aloe Barbadensis Leaf Juice, Chamaecyparis Obtusa Water, Pueraria Lobata Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Ulmus Davidiana Root Extract, Pinus Palustris Leaf Extract, Hydrolyzed Hyaluronic Acid, Panthenol, Palmitoyl Pentapeptide-4, Disodium EDTA, Limonene","Directions ■ After cleansing, gently wipe the entire face with embossing side. ■ Use the opposite side of the pad to soothe skin.","WARNINGS For external use only Consult a specialist if there are abnormal symptoms or side effects such as redness, swelling or itchiness due to direct sunlight during or after use. Avoid using on wounded areas. Keep out of reach of children"
skin,8536970058618,HUMAN OTC DRUG,COVERQUEEN All in one sun roll,"ZINC OXIDE, TITANIUM DIOXIDE, NIACINAMIDE, ADENOSINE",SKINFARM,be5652ce-3b12-c44b-e053-2995a90ab3c3,1,2021-03-25,"Helps prevent sunburn*if used as directed with other sun protection measures (see under Directions), decreases the risk of skin cancer and early skin aging by the sun","directions *apply liberally 15 minutes before sun exposure *apply all skin will be exposed to the sun *reapply *after 80 minutes of swimming or sweating *immediately after towel drying *at least every 2 hours *children under the age of 6 months of age: ask a doctor *sun protection measures. spending time in the sun increases your risk of skin cancer and early skin aging. to decrease this risk, regularly use sunscreen with a broad spectrum spf of 15 or higher and other sun protection measures including: *limit time in the sun, especially from 10 am to 2 pm *wear long-sleeve shirts, pants, hats, and sunglasses","Zinc Oxide, Titanium Dioxide, Niacinamide, Adenosine","Water, Propylheptyl Caprylate, Acrylates Copolymer, Butyloctyl Salicylate, Dicaprylyl Ether, Butylene Glycol, Dicaprylate/Dicaprate, Disiloxane, Propanediol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Silica, Dimethicone, Aluminum Hydroxide, Stearic Acid, Triethoxycaprylylsilane, Cetyl PEG/PPG-10/1 Dimethicone, Ethylhexylglycerin, Disteardimonium Hectorite, Magnesium Sulfate, 1,2-Hexanediol, Disodium EDTA, Fragrance, Citral, Citronellol, Limonene, Hexyl Cinnamal, Hydroxycitronellal, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,",external use only,"Warnings For external use only Do not use on damaged or broken skin When using this product keep out of eyes. Rinse with water to remove. Stop use and ask a Doctor if rash or redness occurs Keep out of reach of children if swallowed, get medical help or contact Poison Control Center right away Other information *do not store this product under the direct sun light or the excessive heat *may stain some fabrics or surfaces"
cough,760236191780,HUMAN OTC DRUG,Cold and Flu Daytime Severe,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",Meijer Distribution Inc,20da1099-e4b9-4270-b138-3e16964692e2,2,2021-03-23,Purpose Pain reliever/fever reducer Cough suppressant Expectorant Nasal decongestant,uses temporarily relieves common cold and flu symptoms: minor aches and pains sinus congestion and pressure sore throat fever headache nasal congestion cough due to minor throat and bronchial irritation reduces swelling of nasal passages temporarily restores freer breathing through the nose promotes nasal and/or sinus drainage helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive,Active ingredients (in each caplet) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg,"Inactive ingredients corn starch, crospovidone, FD&C red #40 aluminum lake, FD&C yellow #6 aluminum lake, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, polysorbate 80, polyvinyl alcohol, povidone, silicon dioxide, sodium starch glycolate, stearic acid, talc, titanium dioxide",Directions do not take more than directed do not take more than 8 caplets in 24 hours adults and children 12 years and over: take 2 caplets with water every 4 hours children under 12 years: ask a doctor,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: blisters rash skin reddening If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease thyroid disease diabetes heart disease high blood pressure difficulty in urination due to enlargement of the prostate gland cough that occurs with too much phlegm (mucus) persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product do not exceed recommended dosage. Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,8809710460232,HUMAN OTC DRUG,AROCELL SUPER POWER MASK,"NIACINAMIDE, ADENOSINE","FICC Co., Ltd.",67e8ad7e-bac7-4720-9dfd-d89b954dc98d,1,2021-03-23,PURPOSE Skin Brightening Anti-wrinkle,uses ■ helps brighten skin tone ■ helps improve wrinkle problem,ACTIVE INGREDIENTS NIACINAMIDE 2.0% ADENOSINE 0.04%,"INACTIVE INGREDIENTS Water, Glycerin, Dipropylene Glycol, Cetyl Ethylhexanoate, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Hydrolyzed Collagen, Hydroxyacetophenone, Betaine, Trehalose, Panthenol, Butyrospermum Parkii (Shea) Butter, Cellulose Gum, Glyceryl Stearate, PEG-100 Stearate, Sodium polyacrylate, Polysorbate 60, Potassium Chloride, Sucrose, Hydrogenated Polydecene, Disodium EDTA, Ethylhexylglycerin, Theobroma Cacao (Cocoa) Seed Extract, Fragrance, 1,2-Hexanediol, Trideceth-6, Lecithin, Human Cord Blood Cell Conditioned Media (30ppm), Hydrogenated Lecithin, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Tocopherol, Cholesterol, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Palmitoyl Tripeptide-5, Leontopodium Alpinum Callus Culture Extract, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Copper Tripeptide-1, Tripeptide-1, Palmitoyl Pentapeptide-4, Dipeptide-2, Oligopeptide-1","Directions ■ After cleansing, carefully treat your skin using your preferred toner. ■ Open the package, remove the film from the lower half of the face mask and attach it around your lips. ■ Remove the film from the upper half of the face mask and attach it around your eyes to adhere. ■ After 30~40 minutes, remove the mask and gently massage the remaining essence on your skin for full absorption. ■ For better results, apply for more than 3 hours. As the maximum dosage is 42g, it is recommended to use at least 3~5 hours until the translucent gel becomes transparent.","WARNINGS For external use only Consult a specialist if there are abnormal symptoms or side effects such as redness, swelling or itchiness due to direct sunlight during or after use. Avoid using on wounded areas. Keep out of reach of children"
skin,8809710460126,HUMAN OTC DRUG,AROCELL X BELLE J SUPER POWER CELL AMPOULE,NIACINAMIDE,"FICC Co., Ltd.",0905fa22-e3bb-470c-8e54-20d92a06cf85,2,2021-03-23,PURPOSE [AROCELL X BELLE J SUPER POWER AMPOULE] Skin Brightening Anti wrinkle [AROCELL X BELLE J SUPER POWER CELL] Skin Brightening,uses [arocell x belle j super power ampoule] ■ helps brighten skin tone ■ helps improve wrinkle problem [arocell x belle j super power cell] ■ helps brighten skin tone,ACTIVE INGREDIENTS [AROCELL X BELLE J SUPER POWER AMPOULE] NIACINAMIDE 2.0% ADENOSINE 0.04% [AROCELL X BELLE J SUPER POWER CELL] NIACINAMIDE 10.0%,"INACTIVE INGREDIENTS [AROCELL X BELLE J SUPER POWER AMPOULE] Water, Glycerin, Butylene Glycol, Propanediol, 1,2-Hexanediol, Polyglyceryl-10 Laurate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Hyaluronate, Human Cord Blood Cell Conditioned Media(1,000ppm), Ethylhexylglycerin, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Agrimonia Eupatoria Extract, Disodium EDTA, Perilla Frutescens Leaf Extract, Silybum Marianum Seed Extract, Broussonetia Kazinoki Root Extract, Propolis Extract, Cimicifuga Dahurica Root Extract, Salix Alba (Willow) Bark Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Caprylyl Glycol, Palmitoyl Tripeptide-5, Acetyl Hexapeptide-8, Fragrance [AROCELL X BELLE J SUPER POWER CELL] Water, Human Cord Blood Cell Conditioned Media (100,000ppm), Sodium Hyaluronate, Betaine, Ascorbic Acid, Trehalose, 1,2-Hexanediol, Hydrolyzed Collagen","Directions ■ On first use, hold down the pump completely so that the bio powder in the ampoule will be released into the bottle. ■ Shake the ampoule well so that the two agents can be mixed evenly. ■ Apply evenly over the face and gently tap for absorption.","WARNINGS For external use only Consult a specialist if there are abnormal symptoms or side effects such as redness, swelling or itchiness due to direct sunlight during or after use. Avoid using on wounded areas. Keep out of reach of children"
skin,8809710460010,HUMAN OTC DRUG,AROCELL TIME REVERSE K I T,NIACINAMIDE,"FICC Co., Ltd.",0569b841-7193-499d-92a0-8894ac3b2f92,2,2021-03-22,PURPOSE [AROCELL POWER ACTIVATOR] Skin Brightening Anti wrinkle [AROCELL POWER CELL] Skin Brightening,uses [arocell power activator] ■ helps brighten skin tone ■ helps improve wrinkle problem [arocell power cell] ■ helps brighten skin tone,ACTIVE INGREDIENTS [AROCELL POWER ACTIVATOR] NIACINAMIDE 2.0% ADENOSINE 0.04% [AROCELL POWER CELL] NIACINAMIDE 10.0%,"INACTIVE INGREDIENTS [AROCELL POWER ACTIVATOR] Water, Glycerin, Butylene Glycol, Propanediol, 1,2-Hexanediol, Polyglyceryl-10 Laurate, Ammonium Acryloyldimethyltaurate/VP, Sodium Hyaluronate, Human Cord Blood Cell Conditioned Media, Ethylhexylglycerin, Camellia Sinensis Leaf Extract, Fragrance, Glycyrrhiza Glabra (Licorice) Root Extract, Agrimonia Eupatoria Extract, Disodium EDTA, Perilla Frutescens Leaf Extract, Silybum Marianum Seed Extract, Broussonetia Kazinoki Root Extract, Propolis Extract, Cimicifuga Dahurica Root Extract, Salix Alba (Willow) Bark Extract, Oenothera Biennis (Evening Primrose) Flower [AROCELL POWER CELL] Water, Human Cord Blood Cell Conditioned Media, Sodium Hyaluronate, Betaine, Ascorbic Acid, Trehalose, 1,2-Hexanediol, Hydrolyzed Collagen","Directions ■ Take one Power Cell and open the cap by using the silver cylinder opener. ■ Pour Power Activator into the Power Cell up to the mark on the side of Power Cell. ■ Put on the white rubber cap onto the Power Cell and shake until the concentration dissolves. ■ Apply adequate amount on skin and gently massage for full absorption. ■ After use, put white rubber cap back. Use remaining ampoule within 7 days.","WARNINGS For external use only Consult a specialist if there are abnormal symptoms or side effects such as redness, swelling or itchiness due to direct sunlight during or after use. Avoid using on wounded areas. Keep out of reach of children"
skin,41415062757,HUMAN OTC DRUG,Daily Moisturizing,DIMETHICONE,Publix Super Markets Inc,d503fc27-8fce-42f5-9509-2bc41f2fe349,8,2021-03-22,Purpose Skin protectant,"uses helps prevent and temporarily protects chafed, chapped, cracked or windburnd skin",active ingredient Dimethicone 1.3%,"Inactive ingredients water, glycerin, distearyldimonium chloride, petrolatum, isopropyl palmitate, cetyl alcohol, Avena sativa (oat) kernel flour, benzyl alcohol, sodium chloride",Directions apply liberally as often as necessary,Warnings For external use only
skin,860004652403,HUMAN OTC DRUG,Allermi Skin Savior,PETROLATUM,"Denison Pharmaceuticals, LLC",bde47bb3-88df-3c01-e053-2a95a90a526e,1,2021-03-19,Purpose Skin protectant,uses temporarily protects and helps relieve chapped or cracked skin helps prevent and protect from the drying effects of wind and cold weather,"Active ingredient White petrolatum, 54%","Inactive ingredients purified water, sorbitan sesquioleate, methylparaben",Directions apply as needed,"Warnings For External use only Do not use on deep or puncture wounds animal bites serious burns When using this product do not get into eyes Stop use and ask a doctor if condition worsens symptoms last more than 7 days or clear up and occur again in a few days Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
cough,349580505063,HUMAN OTC DRUG,Mucus Relief DM Maximum Strength,"DEXTROMETHORPHAN HBR, GUAIFENESIN","P & L Development, LLC",f3ad4ebd-9a61-4c14-b13b-fa513910f8b2,3,2021-03-19,Purposes Cough suppressant Expectorant,uses helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of botherosme mucus and make coughs more productive temporarily relieves: cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants the intensity of coughing the impulse to cough to help you get to sleep,Active ingredients (in each 20 mL) Dextromethorphan HBr 20 mg Guaifenesin 400 mg,"Inactive ingredients anhydrous citric acid, disodium EDTA FD&C red #40, flavor, glycerin, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol, sucralose, xanthan gum",Directions do not take more than 6 doses in any 24-hour period measure only with dosing cup provided. Do not use any other dosing device keep dosing cup with product mL = milliliter dose as follows or as directed by a doctor adults and children 12 years of age and older: 20 mL every 4 hours children under 12 years of age: do not use,"Warnings Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis or emphysema cough that occurs with too much phlegm(mucus) When using this product, do not use more than directed Stop use and ask a doctor if cough lasts more than 7 days, comes back, or occurs with fever, rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1800-222-1222) right away."
skin,607816094423,HUMAN OTC DRUG,BZK Alcohol Free Hand Sanitizer,BENZALKONIUM CHLORIDE,"Sarati International, Inc.",63c56672-6ca0-4c96-bb53-41baa5132227,1,2021-03-18,Purpose: Hand & Skin Sanitizer,"uses: bzk™ alcohol free hand sanitizer provides revolutionary protection in an alcohol-free formula. the scientifically-proven solution kills harmful germs, bacteria, and microbes, and gently soothes and softens skin with aloe vera. recommended for repeated use.",Active Ingredient: Benzalkonium Chloride 0.13%,"Inactive Ingredients: Aloe Barbadensis leaf extract, Aqua, Citric Acid, Caprylyl Glucoside, Laureth-4, Polyhexanide, Phenoxyethanol, Triethoxysilylpropyl Steardimonium Chloride.",Directions: Apply liberally to the palms of the hands or areas of damaged skin. Rub into skin until dry. Recommended for repeated use.,"Warnings: Do not freeze + For external use only + Do not use in ears, eyes or mouth + When using this product, avoid contact with the eyes + In case of contact, flush eyes with water + Stop use and ask a doctor if redness or irritation develops and persists for more than 72 hours"
cough,350844400451,HUMAN OTC DRUG,Severe Congestion and Cough Relief,"DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL","L.N.K. International, Inc.",0401117c-deba-470b-9062-b28188957f5f,1,2021-03-17,Purpose Cough suppressant Expectorant Nasal decongestant,uses helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive temporarily relieves: cough due to minor throat and bronchial irritation as may occur with the common cold or inhaled irritants the intensity of coughing the impulse to cough to help you get to sleep nasal congestion due to a cold,Active ingredients (in each 20 mL) Dextromethorphan HBr 20 mg Guaifenesin 400 mg Phenylephrine HCl 10 mg,"Inactive ingredients anhydrous citric acid, FD&C blue #1, FD&C red #40, flavors, glycerin, propylene glycol, purified water, sodium benzoate, sodium citrate dihydrate, sodium metabisulfite, sorbitol, sucralose, xanthan gum",Directions do not take more than 6 doses in any 24-hour period mL = milliliter; FL OZ = fluid ounce use only enclosed dosing cup designed for use with this product. Do not use any other dosing device. adults and children 12 years and over: 20 mL in dosing cup provided every 4 hours children under 12 years: do not use,"Warnings Do not use for children under 12 years of age if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have heart disease diabetes high blood pressure thyroid disease difficulty in urination due to enlargement of the prostate gland persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis or emphysema cough that occurs with too much phlegm (mucus) When using this product do not exceed recommended dosage. Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur symptoms do not get better within 7 days or occur with fever cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
cough,52548689858,HUMAN OTC DRUG,Cold and Flu Nighttime Relief,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE","L.N.K. International, Inc.",5ecc5c02-22f7-4684-ac3a-8cae73496e72,1,2021-03-17,Purpose Pain reliever/fever reducer Cough suppressant Antihistamine,uses temporarily relieves common cold and flu symptoms: sore throat minor aches and pains headache fever runny nose and sneezing cough due to minor throat and bronchial irritation,Active ingredients (in each liquid-filled capsule) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg,"Inactive ingredients D&C yellow #10, FD&C blue #1, gelatin, glycerin, isopropyl alcohol, medium chain triglycerides, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution, white ink",Directions do not take more than directed do not take more than 8 capsules per 24 hours adults and children 12 years and over: take 2 capsules with water every 6 hours children under 12 years: ask a doctor,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a doctor before use if you have liver disease glaucoma a breathing problem or chronic cough that lasts or as occurs with smoking, asthma, chronic bronchitis, or emphysema cough that occurs with too much phlegm (mucus) difficulty in urination due to enlargement of the prostate gland Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin taking sedatives or tranquilizers When using this product do not exceed recommended dosage excitability may occur, especially in children avoid alcoholic beverages marked drowsiness may occur alcohol, sedatives, and tranquilizers may increase drowsiness use caution when driving a motor vehicle or operating machinery Stop use and ask a doctor if pain or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,47101000089,HUMAN OTC DRUG,Herbal Power Alternative Amazing Powder Wound Antiseptic,ZINC OXIDE,BELLS & MORE INC,bdaeabd5-e1b7-6bc1-e053-2995a90a89f5,2,2021-03-16,Purpose Skin protectant,"uses dries oozing of poison ivy, oak, and temporarily relieves the pain and itch associated with: minor skin irritations, cuts, scrapes, burns insect bites, rashes, jock itch sunburn, diaper rash, chafing dermatitis decubital ulcers",Active Ingredients Zinc oxide (12.5%),"Inactive Ingredients Boric acid, Carbolic acid, Talc","Directions Adults and children 2 years and older: apply freely up to 3 or 4 times daily. Under 2 years: ask a doctor before using. For best results, dry skin thoroughly before use.","Warnings For external use only Avoid contact with eyes. Not for genital area. Stop use and ask a doctor if condition worsens or symptoms do not improve within 7 days or clear up and occur again within a few days Keep out of reach of children. In case of accidental ingestion, get medical help or contact a Poison Control Center right away."
