upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings,category
70552250680,HUMAN OTC DRUG,Nasal Decongestant PE and Pain Relief Plus Mucus Relief,"ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE","Winco Foods, LLC",9650e46d-1e70-4479-e053-2a95a90ab8be,2,2019-11-01,Active ingredients (in each caplet) Purpose Acetaminophen 325 mg Pain reliever/fever reducer Guaifenesin 200 mg Expectorant Phenylephrine HCl 5 mg Nasal decongestant,"Uses temporarily relieves these symptoms associated with hay fever or other upper respiratory allergies, and the common cold: sinus congestion and pressure headache minor aches and pains nasal congestion helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive temporarily reduces fever",Active ingredients (in each caplet) Purpose Acetaminophen 325 mg Pain reliever/fever reducer Guaifenesin 200 mg Expectorant Phenylephrine HCl 5 mg Nasal decongestant,"Inactive ingredients colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, pregelatinized starch, stearic acid, talc, titanium dioxide",Directions do not take more than directed (see overdose warning ) adults and children 12 years and over take 2 caplets every 4 hours do not take more than 10 caplets in 24 hours children under 12 years ask a doctor,"Warnings Liver warning This product contains acetaminophen. The maximum daily dose of this product is 10 caplets (3,250 mg acetaminophen) in 24 hours. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease heart disease high blood pressure thyroid disease diabetes trouble urinating due to an enlarged prostate gland persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin When using this product do not exceed recommended dosage Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
883967393497,HUMAN OTC DRUG,DAYTIME MULTI-SYMPTOM COLD RELIEF,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, AND PHENYLEPHRINE HYDROCHLORIDE",SMART SENSE (KMART),7e446be0-e675-a10a-e053-2a91aa0adf52,2,2018-12-30,Active ingredients (in each caplet) Purpose Acetaminophen 325 mg Pain reliever/fever reducer Dextromethorphan HBr 10 mg Cough suppressant Phenylephrine HCl 5 mg Nasal decongestant,Uses temporarily relieves these common cold/flu symptoms: minor aches and pains headache sore throat nasal congestion cough sinus congestion and pressure helps clear nasal passages promotes nasal and sinus drainage temporarily reduces fever,Active ingredients (in each caplet) Purpose Acetaminophen 325 mg Pain reliever/fever reducer Dextromethorphan HBr 10 mg Cough suppressant Phenylephrine HCl 5 mg Nasal decongestant,"Inactive ingredients acesulfame potassium, colloidal silicon dioxide, corn starch, croscarmellose sodium, crospovidone, flavor, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, pregelatinized starch, propylene glycol, stearic acid, talc, titanium dioxide","Directions do not take more than directed (see overdose warning ) adults and children 12 years and over take 2 caplets every 4 hours swallow whole – do not crush, chew, or dissolve do not take more than 10 caplets in 24 hours children under 12 years ask a doctor","Warnings Liver warning This product contains acetaminophen. The maximum daily dose of this product is 10 caplets (3,250 mg acetaminophen) in 24 hours. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease heart disease high blood pressure thyroid disease diabetes trouble urinating due to an enlarged prostate gland persistent or chronic cough such as occurs with smoking, asthma, or emphysema cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin When using this product do not exceed recommended dosage Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
681131699587,HUMAN OTC DRUG,Low Dose Aspirin,ASPIRIN,Wal-Mart Stores Inc,ca3fc11d-cec1-4b75-93ee-5812e4c6cd8d,14,2021-03-10,Purpose Pain reliever,"Uses for the temporary relief of minor aches and pains or as recommended by your doctor. Because of its delayed action, this product will not provide fast relief of headaches or other symptoms needing immediate relief.",Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug,"Inactive ingredients corn starch, D&C yellow #10, FD&C yellow #6, hypromellose, methacrylic acid, microcrystalline cellulose, polydextrose, polyethylene glycol, shellac wax, silica, simethicone, sodium bicarbonate, sodium lauryl sulfate, talc, titanium dioxide, triacetin, triethyl citrate",Directions drink a full glass of water with each dose adults and children 12 years and over: take 4 to 8 tablets every 4 hours not to exceed 48 tablets in 24 hours unless directed by a doctor children under 12 years: do not use unless directed by a doctor,"Warnings Reye’s syndrome: Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. When using this product, if changes in behavior with nausea and vomiting occur, consult a doctor because these symptoms could be an early sign of Reye's syndrome, a rare but serious illness. Allergy alert: Aspirin may cause a severe allergic reaction, which may include: hives facial swelling shock asthma (wheezing) Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you are age 60 or older take more or for a longer time than directed take a blood thinning (anticoagulant) or steroid drug have had stomach ulcers or bleeding problems have 3 or more alcoholic drinks every day while using this product take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] Do not use if you are allergic to aspirin or any other pain reliever/fever reducer if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis or kidney disease you have asthma you are taking a diuretic Ask a doctor or pharmacist before use if you are taking a prescription drug for gout diabetes arthritis Stop use and ask a doctor if an allergic reaction occurs. Seek medical help right away. you experience any of the following signs of stomach bleeding: vomit blood have bloody or black stools feel faint have stomach pain that does not get better ringing in the ears or a loss of hearing occurs pain gets worse or lasts more than 10 days redness or swelling is present new symptoms occur These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use aspirin during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",pain reliever
852682507670,HUMAN OTC DRUG,Tylenol PM,"ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE","JC World Bell Wholesale Co., Inc.",746da587-727b-29ef-e053-2991aa0a58ba,1,2018-08-27,Purpose Pain reliever Nighttime sleep aid,Uses temporary relief of occasional headaches and minor aches and pains with accompanying sleeplessness,Active ingredients (in each caplet) Acetaminophen 500 mg Diphenhydramine HCl 25 mg Purpose Pain reliever Nighttime sleep aid,"Inactive ingredients carnauba wax, crospovidone, FD&C blue no. 1 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, povidone, pregelatinized starch, sodium starch glycolate, stearic acid, titanium dioxide",Directions do not take more than directed (see overdose warning) adults and children 12 years and over take 2 caplets at bedtime do not take more than 2 caplets of this product in 24 hours Children under 12 years do not use,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include: • skin reddening • blisters • rash If a skin reaction occurs, stop use and seek medical help right away. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. with any other product containing diphenhydramine, even one used on skin in children under 12 years of age if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease a breathing problem such as emphysema or chronic bronchitis trouble urinating due to an enlarged prostate gland glaucoma Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin taking sedatives or tranquilizers When using this product drowsiness will occur avoid alcoholic drinks do not drive a motor vehicle or operate machinery Stop use and ask a doctor if sleeplessness persists continuously for more than 2 weeks. Insomnia may be a symptom of serious underlying medical illness. pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning: In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
855890008663,HUMAN OTC DRUG,BADASS BOTANICALS Hemp Pain Relief,MENTHOL,"Frontier Sales, LLC",98419964-c826-0090-e053-2995a90ac92c,1,2019-11-26,Topical Analgesic,"Indications: For the temporary relief of minor aches and pains of the muscles and joints associated with arthritis, simple backache, sprains, bruises and strains.",Active Ingredient: Menthol Topical Analgesic,"Other Ingredients: Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Aqua (Deionized Water), Arnica Montana Flower Extract, Boswellia Serrata Extract, Butyrospermum Parkii (Shea) Butter, *Cannabis Sativa (Hemp) Oil, Cetyl Esters, Ethylhexylglycerin, Eucalyptus Globulus Oil, Glucosamine Sulfate, Glycerin, Glyceryl Stearate, Glycyrrhiza Glabra (Licorice) Extract,Helianthus Annuus (Sunflower) Oil, Isoproply Alcohol, Methyl Gluceth-20, Methyl Salicylate, Methylsulfonylmethane (MSM), PEG-100 Stearate, Phenoxyethanol, Steareth-20, Tocopheryl Acetate (Vitamin E), Triethanolamine, Zemea (Corn) Propanediol.",Directions: Adults and children two-years of age or older: Apply to affected area not more than three to four times daily. Children under two-years of age: consult a physician.,"Warnings: For external use only. Avoid contact with eyes. If symptoms persist for more than seven days, discontinue use and consult a physician. Keep out of reach of children If swallowed, consult physician. Do not apply to wounds or damaged skin. Do not bandage tightly. If pregnant or breast feeding, contact physician prior to use.",analgesic
311917088716,HUMAN OTC DRUG,Ibuprofen,IBUPROFEN,Walgreen Company,68d8899f-c810-405d-9b46-9294036781d5,12,2021-02-16,Purpose Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache backache toothache the common cold muscular aches menstrual cramps minor pain of arthritis temporarily reduces fever,"Active ingredient (in each brown tablet) Ibuprofen USP, 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug","Inactive ingredients carnauba wax, colloidal silicon dioxide, corn starch, hypromellose, lactose anhydrous, magnesium stearate, microcrystalline cellulose, polydextrose, polyethylene glycol, red iron oxide, sodium starch glycolate, stearic acid, titanium dioxide","Directions do not take more than directed the smallest effective dose should be used adults and children 12 years and over: take 1 tablet every 4 to 6 hours while symptoms persist if pain or fever does not respond to 1 tablet, 2 tablets may be used do not exceed 6 tablets in 24 hours, unless directed by a doctor children under 12 years: ask a doctor","Warnings Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: skin reddening asthma (wheezing) rash facial swelling shock blisters hives If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you take more or for a longer time than directed take a blood thinning (anticoagulant) or steroid drug are age 60 or older take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] have had stomach ulcers or bleeding problems have 3 or more alcoholic drinks every day while using this product Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a doctor before use if stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you are taking a diuretic you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you have problems or serious side effects from taking pain relievers or fever reducers Ask a doctor or pharmacist before use if you are under a doctor's care for any serious condition taking aspirin for heart attack or stroke, because ibuprofen may decrease this benefit of aspirin taking any other drug When using this product take with food or milk if stomach upset occurs Stop use and ask a doctor if you experience any of the following signs of stomach bleeding: feel faint vomit blood have bloody or black stools have stomach pain that does not get better you have symptoms of heart problems or stroke: chest pain slurred speech leg swelling trouble breathing weakness in one part or side of body pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days any new symptoms appear redness or swelling is present in the painful area If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",pain reliever
812459000247,HUMAN OTC DRUG,MEDISTIK PAIN RELIEF - FAST ACTING - ANALGESIC,"METHYL SALICYLATE, MENTHOL",Medistik Inc,0ae934bc-8593-4201-b2b7-ee2ff23af13d,9,2020-05-29,PURPOSE Topical Analgesic,USES Temporarily relieves minor aches and pains of muscles and joints associated with simple backache arthritis strains sprains bruises cramps,ACTIVE INGREDIENTS Menthol 10% Methyl Salicylate 12%,"INACTIVE INGREDIENTS Isopropyl alcohol, Water, MSM, Boswellia serrata extract, Ilex paraguariensis leaf extract, Glucosamine sulphate, Chondroitin sulphate.","DIRECTIONS adults and children 12 years of age and older: spray product on affected area, not more than 4 times daily children under 12 years of age: ask a doctor","WARNINGS For external use only Allergy alert: If prone to allergic reaction from aspirin or salicylates, ask a doctor before use When using this product use only as directed avoid getting into the eyes and mucous membranes do not bandage tightly or use with a heating pad do not apply to wounds or damaged skin Stop use and ask doctor if condition worsens symptoms persist for more than 7 days or clear up and occur again within a few days excessive skin irritation or redness occurs If pregnant of breast-feeding, ask a health professional before use.",analgesic
379395111005,HUMAN OTC DRUG,Head Congestion,"ACETAMINOPHEN, GUAIFENESIN, PHENYLEPHRINE HCL",Chalkboard Health Inc,1f1bcef5-10c1-423a-b726-349f480f4f27,1,2020-08-20,Purpose Pain reliever/fever reducer Expectorant Nasal decongestant,Uses for the temporary relief of the following cold symptoms: headache nasal congestion minor aches and pains sore throat sinus congestion and pressure helps loosen phlegm (mucus) and thin bronchial secretions to make coughs more productive temporarily reduces fever,Active ingredients (in each caplet) Acetaminophen 325 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg,"Inactive ingredients corn starch, crospovidone, flavor, magnesium stearate, maltodextrin, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, silicon dioxide, sodium starch glycolate, stearic acid, sucralose, talc, titanium dioxide","Directions do not take more than directed adults and children 12 years and over take 2 caplets every 4 hours swallow whole - do not crush, chew, or dissolve do not take more than 10 caplets in 24 hours children under 12 years: ask a doctor","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: blisters rash skin reddening If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease diabetes difficulty in urination due to enlargement of the prostate gland cough that occurs with too much phlegm (mucus) heart disease persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis, or emphysema high blood pressure thyroid disease Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product do not exceed recommended dosage. Stop use and ask a doctor if redness or swelling is present nervousness, dizziness, or sleeplessness occur pain, nasal congestion, or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days new symptoms occur cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
635515996106,HUMAN OTC DRUG,Mucus Relief Cold Flu Sore Throat Maximum Strength,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",QUALITY CHOICE (Chain Drug Marketing Association),48db023f-faca-408e-bed7-d73b100dfcfe,2,2020-11-30,Purposes Pain reliever/fever reducer Cough suppressant Expectorant Nasal decongestant,Uses temporarily relieves these common cold and flu symptoms: headache nasal congestion sore throat cough minor aches and pains temporarily reduces fever helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive,Active ingredients (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg,"Inactive ingredients FD&C red #40, FD&C yellow #6 gelatin, glycerin, mannitol, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol, sorbitan, titanium dioxide",Directions do not take more than directed (see Overdose warning) do not take more than 12 softgels in any 24-hour period adults and children 12 years of age and older: take 2 softgels every 4 hours children under 12 years of age: do not use,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take: more than 4,000 of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks everyday while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have liver disease diabetes high blood pressure heart disease thyroid disease trouble urinating due to an enlarged prostate gland persistent or chronic cough such as occurs with smoking, asthma, chronic bronchitis or emphysema cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product, do not use more than directed. Stop use and ask a doctor if nervousness, dizziness or sleeplessness occur pain, nasal congestion or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back, or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning: Taking more than the recommended dose (overdose) may cause liver damage. In case of overdose, get medical help or contact a Poison Control Center right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
353746462022,HUMAN OTC DRUG,Ibuprofen,IBUPROFEN,Amneal Pharmaceuticals of New York LLC,2970d53c-41a7-4787-bcae-20777d4e4c2a,2,2020-11-23,PURPOSE Pain reliever/fever reducer,INDICATIONS AND USAGE temporarily relieves minor aches and pains due to: headache muscular aches minor pain of arthritis toothache backache the common cold menstrual cramps temporarily reduces fever,"ACTIVE INGREDIENT (in each tablet) Ibuprofen USP, 200 mg (NSAID)** **nonsteroidal anti-inflammatory drug","INACTIVE INGREDIENTS Brown Tablets: colloidal silicon dioxide, croscarmellose sodium, hypromellose, iron oxide red, magnesium stearate, maltodextrin, microcrystalline cellulose, polydextrose, pregelatinized starch, stearic acid, talc, titanium dioxide, triglycerides Orange Tablets: colloidal silicon dioxide, croscarmellose sodium, FD&C Yellow #6, hypromellose, magnesium stearate, maltodextrin, microcrystalline cellulose, polydextrose, pregelatinized starch, stearic acid, talc, titanium dioxide, triglycerides White Tablets: colloidal silicon dioxide, croscarmellose sodium, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, pregelatinized starch, stearic acid, talc, titanium dioxide","DIRECTIONS do not take more than directed the smallest effective dose should be used Adults and children 12 years and older take 1 tablet every 4 to 6 hours while symptoms persist if pain or fever does not respond to 1 tablet, 2 tablets may be used do not exceed 6 tablets in 24 hours, unless directed by a doctor Children under 12 years ask a doctor","WARNINGS Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives facial swelling asthma(wheezing) shock skin reddening rash blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning : This product contains a nonsteroidal anti-inflammatory drug (NSAID), which may cause severe stomach bleeding. The chances are higher if you: are age 60 or older have had stomach ulcers or bleeding problems take a blood thinning (anticoagulant) or steroid drug take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) have 3 or more alcoholic drinks every day while using this product take more or for a longer time than directed",pain reliever
715256750127,HUMAN OTC DRUG,Pain and Fever Relief Infants,ACETAMINOPHEN,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",4abd60c2-35c5-4714-bb97-1ee1b4558c2b,4,2019-12-03,Purpose Pain reliever/fever reducer,Uses temporarily reduces fever temporarily relieves minor aches and pains due to: flu the common cold headache sore throat toothache,Active ingredient (in each 5 mL) Acetaminophen 160 mg,"Inactive ingredients acesulfame potassium, anhydrous citric acid, butylparaben, carboxymethylcellulose sodium, FD&c red #40, flavors, glycerin, high fructose corn syrup, microcrystalline celllulose, propylene glycol, purified water, sodium benzoate, sorbitol, xanthan gum","Directions this product does not contain directions or complete warnings for adult use. do not take more than the recommended dose (see overdose warning) shake well before using mL= milliliter only use the enclosed syringe. Do not use any other syringe, dropper, spoon or dosing device when giving this medicine to your child remove cap, insert syringe into hole at top of bottle until it snaps into place and turn upside down pull back syringe until filled to be prescribed level. If you pass the prescribed level, invert assembly to right side up on flat surface and simply push syringe back until you have reached the desired level. Slowly dispense the liquid into your child's mouth (towards inner cheek) If needed, repeat dose every 4 hours while syptoms last do not give more than 5 times in 24 hours do not give more than 5 days unless directed by a doctor replace cap tightly to maintain child resistance find the right dose on chart below. If possible, use weight to dose; otherwise, use age Weight (lb) Age (yr) Dose (mL) under 24 under 2 years ask a doctor 24-35 2-3 years 5 mL","Warnings Allergy alert : Acetaminophen may cause severe skin reactions. symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away Liver warning: This product contains acetaminophen. Severe liver damage may occur if your child takes: more than 5 doses in 24 hours, which is the maximum daily amount with other drugs containing acetaminophen Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or non prescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if your child is allergic to acetaminophen or any of the inactive ingredients in this product. Ask a doctor before use if your child has liver disease. Ask a doctor or pharmacist before use if your child is taking the blood thinning drug warfarin. When using this product, do not exceed recommended dose (see overdose warning) Stop use and ask a doctor if new symptoms occur redness or swelling is present pain gets worse or lasts more than 5 days fever gets worse or lasts more than 3 days These could be signs of a serious condition. Keep out of reach of children. Overdose warning: Taking more than the recommended dose (overdose) may cause liver damage. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Quick medical attention is critical even if you do not notice any signs or symptoms.",pain reliever
349873068022,HUMAN OTC DRUG,Satohap,"METHYL SALICYLATE, DL-CAMPHOR, L-MENTHOL","Sato Pharmaceutical Co., Ltd.",9b9a4470-4365-599c-e053-2a95a90a2b89,4,2020-01-07,Purpose dl-Camphor External analgesic l-Menthol External analgesic Methyl salicylate External analgesic,Uses temporary relieves minor aches and pains of muscles and joints due to ■ backache ■ arthritis ■ strains ■ bruises ■sprains,Active ingredients dl-Camphor 5% l-Menthol 4% Methyl salicylate 10%,"Inactive ingredients fragrance, phenylethyl alcohol, alcohol, propylene glycol, LPG",Directions ■ adults and children 2 years of age and over: Hold can upright and spray until wet. Apply to affected area not more than 3 to 4 times daily. ■ children under 2 years of age: Do not use and ask a doctor.,"Warnings For external use only Do not use on wounds or on damaged skin When using this product ■ avoid contact with the eyes ■ do not bandage tightly Stop use and ask a doctor if ■ symptoms persist for more than 7 days ■ symptoms clear up and occur again within a few days Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. Warnings-contents under pressure ■ do not puncture or incinerate container. ■ do not expose to heat or store at temperatures above 120 degrees F.",analgesic
